******************PageRank******************
The pages as per their docID and scores are : 
('Carbon_dioxide', 0.008379454415303795)
('National_Diet_Library', 0.00727536254475816)
('Digital_object_identifier', 0.005895555276132739)
('United_States', 0.004941107097324242)
('Oxygen', 0.004932283271226386)
('Hydrogen', 0.00425506471248139)
('Water', 0.004125509101572984)
('Climate_change', 0.0038885788483303658)
('Carbon', 0.0036973197874036285)
('Nitrogen', 0.0036350515986085154)
('Global_warming', 0.003428663574199)
('Density', 0.003333032311310596)
('Greenhouse_gas', 0.003068450202803767)
('Pressure', 0.003055917609455092)
('Methane', 0.0028190394168771333)
('Iron', 0.0026668370487176584)
('Sodium', 0.0026621538278619374)
('Sulfur', 0.0026517027006712776)
('Chlorine', 0.0026394502069284486)
('Melting_point', 0.0026360249424980534)
('India', 0.002623989732462221)
('Australia', 0.0025812835302477083)
('Magnesium', 0.002530110018475037)
('Mercury_(element)', 0.002493481589728292)
('Carbon_monoxide', 0.0024381063909007187)
('Potassium', 0.002383360906376741)
('Gas', 0.002377493911056855)
('Copper', 0.002373295205186597)
('Energy', 0.0023629577219398323)
('Renewable_energy', 0.00236295706955933)
('Calcium', 0.0023428160707878393)
('Phosphorus', 0.0023244072075258694)
('Italy', 0.002315660243353812)
('Standard_conditions_for_temperature_and_pressure', 0.0023143989360969413)
('Earth', 0.0022839980626906)
('Fossil_fuel', 0.002264955126481204)
('Biodiversity', 0.0022646025584239287)
('PH', 0.002261951557781098)
('Lead', 0.002252093064497618)
('Tin', 0.0022300735013127456)
('Metabolism', 0.00222955495300236)
('Aluminium', 0.002225454786054824)
('Zinc', 0.002219937396367129)
('Helium', 0.0022094193057114616)
('Molecule', 0.0021774472609732438)
('Ethanol', 0.0021577495839216173)
('Chemical_formula', 0.0021558553285409383)
('Deforestation', 0.0021189332671153003)
('Atmosphere_(unit)', 0.0020965794275048895)
('Sustainable_development', 0.002093091189061662)
